cell_id,group_id,table,dataset,model,imr,metric,statistic,reported_value,recomputed_value,rounded_recomputed,matches_2dp,run_ids
T2-G01-acc-mean,G01,2,IEMOCAP,GCNet+AMBER,"(0.3,0.5,0.7)",Acc,mean,61.85,61.848428835489834,61.85,True,G01-seed1;G01-seed2;G01-seed3;G01-seed4;G01-seed5
T2-G01-acc-std,G01,2,IEMOCAP,GCNet+AMBER,"(0.3,0.5,0.7)",Acc,std,1.03,1.032292296663431,1.03,True,G01-seed1;G01-seed2;G01-seed3;G01-seed4;G01-seed5
T2-G01-wf1-mean,G01,2,IEMOCAP,GCNet+AMBER,"(0.3,0.5,0.7)",w-F1,mean,61.68,61.684232131403824,61.68,True,G01-seed1;G01-seed2;G01-seed3;G01-seed4;G01-seed5
T2-G01-wf1-std,G01,2,IEMOCAP,GCNet+AMBER,"(0.3,0.5,0.7)",w-F1,std,1.08,1.0838386676428662,1.08,True,G01-seed1;G01-seed2;G01-seed3;G01-seed4;G01-seed5
T2-G02-acc-mean,G02,2,IEMOCAP,GCNet+AMBER,"(0.3,0.7,0.5)",Acc,mean,59.93,59.92606284658041,59.93,True,G02-seed1;G02-seed2;G02-seed3;G02-seed4;G02-seed5
T2-G02-acc-std,G02,2,IEMOCAP,GCNet+AMBER,"(0.3,0.7,0.5)",Acc,std,0.69,0.6883174390027796,0.69,True,G02-seed1;G02-seed2;G02-seed3;G02-seed4;G02-seed5
T2-G02-wf1-mean,G02,2,IEMOCAP,GCNet+AMBER,"(0.3,0.7,0.5)",w-F1,mean,59.2,59.20008692699461,59.2,True,G02-seed1;G02-seed2;G02-seed3;G02-seed4;G02-seed5
T2-G02-wf1-std,G02,2,IEMOCAP,GCNet+AMBER,"(0.3,0.7,0.5)",w-F1,std,0.5,0.4960153118144474,0.5,True,G02-seed1;G02-seed2;G02-seed3;G02-seed4;G02-seed5
T2-G03-acc-mean,G03,2,IEMOCAP,GCNet+AMBER,"(0.5,0.3,0.7)",Acc,mean,65.16,65.16327788046827,65.16,True,G03-seed1;G03-seed2;G03-seed3;G03-seed4;G03-seed5
T2-G03-acc-std,G03,2,IEMOCAP,GCNet+AMBER,"(0.5,0.3,0.7)",Acc,std,1.46,1.4610514914475754,1.46,True,G03-seed1;G03-seed2;G03-seed3;G03-seed4;G03-seed5
T2-G03-wf1-mean,G03,2,IEMOCAP,GCNet+AMBER,"(0.5,0.3,0.7)",w-F1,mean,64.68,64.68107705119196,64.68,True,G03-seed1;G03-seed2;G03-seed3;G03-seed4;G03-seed5
T2-G03-wf1-std,G03,2,IEMOCAP,GCNet+AMBER,"(0.5,0.3,0.7)",w-F1,std,1.67,1.6684783729018877,1.67,True,G03-seed1;G03-seed2;G03-seed3;G03-seed4;G03-seed5
T2-G04-acc-mean,G04,2,IEMOCAP,GCNet+AMBER,"(0.5,0.7,0.3)",Acc,mean,60.58,60.57917436845349,60.58,True,G04-seed1;G04-seed2;G04-seed3;G04-seed4;G04-seed5
T2-G04-acc-std,G04,2,IEMOCAP,GCNet+AMBER,"(0.5,0.7,0.3)",Acc,std,0.95,0.9499397719511672,0.95,True,G04-seed1;G04-seed2;G04-seed3;G04-seed4;G04-seed5
T2-G04-wf1-mean,G04,2,IEMOCAP,GCNet+AMBER,"(0.5,0.7,0.3)",w-F1,mean,60.22,60.21623311425024,60.22,True,G04-seed1;G04-seed2;G04-seed3;G04-seed4;G04-seed5
T2-G04-wf1-std,G04,2,IEMOCAP,GCNet+AMBER,"(0.5,0.7,0.3)",w-F1,std,0.92,0.9169578865241894,0.92,True,G04-seed1;G04-seed2;G04-seed3;G04-seed4;G04-seed5
T2-G05-acc-mean,G05,2,IEMOCAP,GCNet+AMBER,"(0.7,0.3,0.5)",Acc,mean,65.35,65.34812076401725,65.35,True,G05-seed1;G05-seed2;G05-seed3;G05-seed4;G05-seed5
T2-G05-acc-std,G05,2,IEMOCAP,GCNet+AMBER,"(0.7,0.3,0.5)",Acc,std,0.92,0.9238035644604485,0.92,True,G05-seed1;G05-seed2;G05-seed3;G05-seed4;G05-seed5
T2-G05-wf1-mean,G05,2,IEMOCAP,GCNet+AMBER,"(0.7,0.3,0.5)",w-F1,mean,64.9,64.89942502227066,64.9,True,G05-seed1;G05-seed2;G05-seed3;G05-seed4;G05-seed5
T2-G05-wf1-std,G05,2,IEMOCAP,GCNet+AMBER,"(0.7,0.3,0.5)",w-F1,std,0.81,0.8104745590358188,0.81,True,G05-seed1;G05-seed2;G05-seed3;G05-seed4;G05-seed5
