group_id,table,metric,comparison,reference_count,reported_delta,recomputed_from_printed_means,matches_2dp,recomputed_from_unrounded_amber,matches_unrounded_amber_2dp,scope
G01,2,Acc,original,1,3.81,3.8100000000000023,True,3.808428835489835,True,arithmetic_only_baselines_not_run_verified
G01,2,Acc,Group 1 mean,8,6.54,6.541249999999998,True,6.5396788354898305,True,arithmetic_only_baselines_not_run_verified
G01,2,w-F1,original,1,3.32,3.3200000000000003,True,3.324232131403825,True,arithmetic_only_baselines_not_run_verified
G01,2,w-F1,Group 1 mean,8,7.54,7.536250000000003,True,7.540482131403827,True,arithmetic_only_baselines_not_run_verified
G02,2,Acc,original,1,3.12,3.1199999999999974,True,3.116062846580405,True,arithmetic_only_baselines_not_run_verified
G02,2,Acc,Group 1 mean,8,7.17,7.175000000000004,False,7.171062846580412,True,arithmetic_only_baselines_not_run_verified
G02,2,w-F1,original,1,2.37,2.3700000000000045,True,2.3700869269946097,True,arithmetic_only_baselines_not_run_verified
G02,2,w-F1,Group 1 mean,8,7.59,7.587500000000006,True,7.587586926994611,True,arithmetic_only_baselines_not_run_verified
G03,2,Acc,original,1,3.55,3.549999999999997,True,3.553277880468272,True,arithmetic_only_baselines_not_run_verified
G03,2,Acc,Group 1 mean,8,7.74,7.736249999999998,True,7.739527880468273,True,arithmetic_only_baselines_not_run_verified
G03,2,w-F1,original,1,2.62,2.6200000000000045,True,2.6210770511919605,True,arithmetic_only_baselines_not_run_verified
G03,2,w-F1,Group 1 mean,8,8.61,8.612500000000004,True,8.61357705119196,True,arithmetic_only_baselines_not_run_verified
G04,2,Acc,original,1,3.77,3.769999999999996,True,3.769174368453484,True,arithmetic_only_baselines_not_run_verified
G04,2,Acc,Group 1 mean,8,8.0,8.001249999999999,True,8.000424368453487,True,arithmetic_only_baselines_not_run_verified
G04,2,w-F1,original,1,3.23,3.229999999999997,True,3.2262331142502347,True,arithmetic_only_baselines_not_run_verified
G04,2,w-F1,Group 1 mean,8,8.55,8.558749999999996,False,8.554983114250234,True,arithmetic_only_baselines_not_run_verified
G05,2,Acc,original,1,5.71,5.709999999999994,True,5.708120764017252,True,arithmetic_only_baselines_not_run_verified
G05,2,Acc,Group 1 mean,8,9.05,9.047499999999992,True,9.04562076401725,True,arithmetic_only_baselines_not_run_verified
G05,2,w-F1,original,1,5.12,5.1200000000000045,True,5.119425022270661,True,arithmetic_only_baselines_not_run_verified
G05,2,w-F1,Group 1 mean,8,9.55,9.548750000000005,True,9.548175022270662,True,arithmetic_only_baselines_not_run_verified
G06,2,Acc,original,1,3.29,3.289999999999999,True,3.288311768330253,True,arithmetic_only_baselines_not_run_verified
G06,2,Acc,Group 1 mean,8,8.33,8.3275,True,8.325811768330254,True,arithmetic_only_baselines_not_run_verified
G06,2,w-F1,original,1,2.68,2.6799999999999997,True,2.675266359135364,True,arithmetic_only_baselines_not_run_verified
G06,2,w-F1,Group 1 mean,8,9.04,9.044999999999995,True,9.040266359135359,True,arithmetic_only_baselines_not_run_verified
