table,dataset,row_label,imr,metric,reported_value,reported_std,source_id,source_line,evidence_scope,group_id
2,IEMOCAP,MMIN,"(0.3,0.5,0.7)",Acc,55.97,,T2,26,existing_table_transcription_only,
2,IEMOCAP,MMIN,"(0.3,0.5,0.7)",w-F1,49.92,,T2,26,existing_table_transcription_only,
2,IEMOCAP,MMIN,"(0.3,0.7,0.5)",Acc,55.87,,T2,26,existing_table_transcription_only,
2,IEMOCAP,MMIN,"(0.3,0.7,0.5)",w-F1,49.83,,T2,26,existing_table_transcription_only,
2,IEMOCAP,MMIN,"(0.5,0.3,0.7)",Acc,56.4,,T2,26,existing_table_transcription_only,
2,IEMOCAP,MMIN,"(0.5,0.3,0.7)",w-F1,50.28,,T2,26,existing_table_transcription_only,
2,IEMOCAP,MMIN,"(0.5,0.7,0.3)",Acc,55.87,,T2,26,existing_table_transcription_only,
2,IEMOCAP,MMIN,"(0.5,0.7,0.3)",w-F1,49.75,,T2,26,existing_table_transcription_only,
2,IEMOCAP,MMIN,"(0.7,0.3,0.5)",Acc,55.87,,T2,26,existing_table_transcription_only,
2,IEMOCAP,MMIN,"(0.7,0.3,0.5)",w-F1,49.85,,T2,26,existing_table_transcription_only,
2,IEMOCAP,MMIN,"(0.7,0.5,0.3)",Acc,55.83,,T2,26,existing_table_transcription_only,
2,IEMOCAP,MMIN,"(0.7,0.5,0.3)",w-F1,49.73,,T2,26,existing_table_transcription_only,
2,IEMOCAP,GCNet,"(0.3,0.5,0.7)",Acc,58.04,,T2,27,existing_table_transcription_only,
2,IEMOCAP,GCNet,"(0.3,0.5,0.7)",w-F1,58.36,,T2,27,existing_table_transcription_only,
2,IEMOCAP,GCNet,"(0.3,0.7,0.5)",Acc,56.81,,T2,27,existing_table_transcription_only,
2,IEMOCAP,GCNet,"(0.3,0.7,0.5)",w-F1,56.83,,T2,27,existing_table_transcription_only,
2,IEMOCAP,GCNet,"(0.5,0.3,0.7)",Acc,61.61,,T2,27,existing_table_transcription_only,
2,IEMOCAP,GCNet,"(0.5,0.3,0.7)",w-F1,62.06,,T2,27,existing_table_transcription_only,
2,IEMOCAP,GCNet,"(0.5,0.7,0.3)",Acc,56.81,,T2,27,existing_table_transcription_only,
2,IEMOCAP,GCNet,"(0.5,0.7,0.3)",w-F1,56.99,,T2,27,existing_table_transcription_only,
2,IEMOCAP,GCNet,"(0.7,0.3,0.5)",Acc,59.64,,T2,27,existing_table_transcription_only,
2,IEMOCAP,GCNet,"(0.7,0.3,0.5)",w-F1,59.78,,T2,27,existing_table_transcription_only,
2,IEMOCAP,GCNet,"(0.7,0.5,0.3)",Acc,59.09,,T2,27,existing_table_transcription_only,
2,IEMOCAP,GCNet,"(0.7,0.5,0.3)",w-F1,59.19,,T2,27,existing_table_transcription_only,
2,IEMOCAP,MoMKE,"(0.3,0.5,0.7)",Acc,55.39,,T2,28,existing_table_transcription_only,
2,IEMOCAP,MoMKE,"(0.3,0.5,0.7)",w-F1,54.19,,T2,28,existing_table_transcription_only,
2,IEMOCAP,MoMKE,"(0.3,0.7,0.5)",Acc,50.83,,T2,28,existing_table_transcription_only,
2,IEMOCAP,MoMKE,"(0.3,0.7,0.5)",w-F1,49.7,,T2,28,existing_table_transcription_only,
2,IEMOCAP,MoMKE,"(0.5,0.3,0.7)",Acc,60.18,,T2,28,existing_table_transcription_only,
