run_id,group_id,dataset,model,imr,seed_alias,log_file,original_log_sha256,redacted_log_sha256,original_line_count,retained_original_line_count,sanitized_line_count,removed_line_count,epoch_summary_count,final_best_epoch,final_acc_pct,final_wf1_pct,best_report_acc,best_report_weighted_f1,best_report_support,best_report_matches_final_scalars_4dp,source_status,process_return_code
G01-seed1,G01,IEMOCAP,GCNet+AMBER,"(0.3,0.5,0.7)",seed1,run_logs/G01/G01-seed1.log,a1e8fa8e2270d1bb8b62680d460e837ea330016ff4d15c7173642e872722add6,54b4b18612284bfd41ffc02e4ba3e63bf8e0d953addc5d9f0f9a2ef84202a2fb,3720,1234,4,2482,150,124,62.90819470117067,62.900252311386915,0.6291,0.629,1623,True,ok,3221226505
G01-seed2,G01,IEMOCAP,GCNet+AMBER,"(0.3,0.5,0.7)",seed2,run_logs/G01/G01-seed2.log,a6e19ee6fa01889238076e51226663cd885da28f2add2b7495ddd2a643d42665,bfd40fa8e3eaf73aa19414095fa70115a13f9ebe6bdb63da2912d50c3b81584a,3720,1234,4,2482,150,139,61.552680221811464,61.72908724595304,0.6155,0.6173,1623,True,ok,3221226505
G01-seed3,G01,IEMOCAP,GCNet+AMBER,"(0.3,0.5,0.7)",seed3,run_logs/G01/G01-seed3.log,3871465e813b3c1c503336599c5a90347a58c2daa57a8b8234f74c0e2f8c8851,8d066eaf76f2d43bc25cd650b753aa2756e750177ef14ed2e42525fe58786f85,1753,579,4,1170,68,27,60.81330868761553,60.4727998243652,0.6081,0.6047,1623,True,ok,3221226505
G01-seed4,G01,IEMOCAP,GCNet+AMBER,"(0.3,0.5,0.7)",seed4,run_logs/G01/G01-seed4.log,4de5da7c3b5798021861c27ec1e2939d5036de5b024e8f0bbed2767ea8f533b0,e73692d9dc8d45f847baa68cb987f89d31bf325bdfa146035ece2e342133558d,2905,963,4,1938,116,75,60.998151571164506,60.72427873287586,0.61,0.6072,1623,True,ok,3221226505
G01-seed5,G01,IEMOCAP,GCNet+AMBER,"(0.3,0.5,0.7)",seed5,run_logs/G01/G01-seed5.log,137c907c2e537e208dc03b51d99c1e1e1ec5a17e210494c1dd5b0087508fa740,e2fa10ca5943a19e8ed2b6d58a3ad11f697a6397d49defcc05fa28758b2e5792,1969,651,4,1314,77,36,62.969808995687,62.5947425424381,0.6297,0.6259,1623,True,ok,3221226505
G02-seed1,G02,IEMOCAP,GCNet+AMBER,"(0.3,0.7,0.5)",seed1,run_logs/G02/G02-seed1.log,fb52d7125096ff6f155f146d057ad5f44eb25043a490984aa8903156c249cb99,40a9ba1762a3100f5533a6c94f4adbf5ecdd57c4804430cbb8d99653c74d30fe,3720,1234,4,2482,150,149,60.69008009858287,59.69016487172515,0.6069,0.5969,1623,True,ok,3221226505
G02-seed2,G02,IEMOCAP,GCNet+AMBER,"(0.3,0.7,0.5)",seed2,run_logs/G02/G02-seed2.log,8dbd74404db3b780a65f3079ed63f21c9b217403a620cd98db1483bedd6382a4,f889c9092483a0a7244c7d8d7d5def202a8e570a5ed50f1a3627068f7adbed2c,2473,819,4,1650,98,57,59.58102279728897,59.09598980689037,0.5958,0.591,1623,True,ok,3221226505
G02-seed3,G02,IEMOCAP,GCNet+AMBER,"(0.3,0.7,0.5)",seed3,run_logs/G02/G02-seed3.log,a02ea7aa6db75fdcff871b7586a4aab3ba1434dcfa4a15fbdcd14bd59225fc5e,7ebb154cfabf424c966c5e8559b01c2191367600701be1e10797ee81e558331d,2209,731,4,1474,87,46,58.9648798521257,58.63503508709877,0.5896,0.5864,1623,True,ok,3221226505
G02-seed4,G02,IEMOCAP,GCNet+AMBER,"(0.3,0.7,0.5)",seed4,run_logs/G02/G02-seed4.log,2b8ecd74bbd4387709b6bbb8b60d2429585c9c785ba5b42807e7f5ac9a204ec0,a63ef5c15446834af997c17e43bfbf78f975331877f64b6ae06c1e530fe6d7c5,2569,851,4,1714,102,61,59.950708564386936,59.73560189596573,0.5995,0.5974,1623,True,ok,3221226505
G02-seed5,G02,IEMOCAP,GCNet+AMBER,"(0.3,0.7,0.5)",seed5,run_logs/G02/G02-seed5.log,4e0c12e85dd9de5c911e687320c51a0820c498ae69c77fbd8e23a7964c83bcd5,41d452ca721feb771afd3466fee7684fbfe6d6324ce1389e6a01a04e40848ffc,3720,1234,4,2482,150,126,60.44362292051756,58.84364297329303,0.6044,0.5884,1623,True,ok,3221226505
G03-seed1,G03,IEMOCAP,GCNet+AMBER,"(0.5,0.3,0.7)",seed1,run_logs/G03/G03-seed1.log,520bb40d8f35ca336fb818a4b185761467820d7bfb24d496f29a3f356b99cb73,2206bad1680445bbe81b0a45063fd1b7e0abe84cabf3cc12d9ccb5e8819d9388,3720,1234,4,2482,150,133,65.37276648182379,65.12579189402835,0.6537,0.6513,1623,True,ok,3221226505
G03-seed2,G03,IEMOCAP,GCNet+AMBER,"(0.5,0.3,0.7)",seed2,run_logs/G03/G03-seed2.log,a6e3ee6cae9815241c1a27c1d19cca679583cc6adbedd87937f28e436e3c0401,e42b5b2d6cad27c202f18ac05eae4426488f3519d8cdbc45ad5eb4c29c1e3df9,3720,1234,4,2482,150,137,63.4011090573013,62.24017670007229,0.634,0.6224,1623,True,ok,3221226505
G03-seed3,G03,IEMOCAP,GCNet+AMBER,"(0.5,0.3,0.7)",seed3,run_logs/G03/G03-seed3.log,2c63ef90f9e608978e74043695bde4e0b2861e960f2b2da8b627c580d97725c2,48e4290c9fd92168712cd7024bed588767d25629f59be89c274f660dfbc37390,3720,1234,4,2482,150,143,64.57178065311152,64.41063729742898,0.6457,0.6441,1623,True,ok,3221226505
G03-seed4,G03,IEMOCAP,GCNet+AMBER,"(0.5,0.3,0.7)",seed4,run_logs/G03/G03-seed4.log,c178a8f6202b884ac3efbbd3097fd1edc811c9d5b857e51d7056727de4dd455f,31a0e4b59c1de069f2be5a3f9d7b53eefcca16200b04e0c28f1c55e164f9ae36,3720,1234,4,2482,150,137,65.06469500924214,64.73328334883675,0.6506,0.6473,1623,True,ok,3221226505
G03-seed5,G03,IEMOCAP,GCNet+AMBER,"(0.5,0.3,0.7)",seed5,run_logs/G03/G03-seed5.log,bbcdd6a550ba32f8c1790c2cb95952bbebca21c6a72ae66d631af01c80a03695,31e03acdcabf605c68275296359bd25d5032d244170470aa3566cc1d61674819,3720,1234,4,2482,150,128,67.4060382008626,66.89549601559347,0.6741,0.669,1623,True,ok,3221226505
G04-seed1,G04,IEMOCAP,GCNet+AMBER,"(0.5,0.7,0.3)",seed1,run_logs/G04/G04-seed1.log,422596bcc819bfac5ab8f5b2757ad33a721f307b43719d4f6ccb79d56e85c511,d363f75151abb1a52ca9a2ae148f3ba5588005e67d5d57a28e138e788d2508e1,2233,739,4,1490,88,47,62.04559457794209,61.771043762165114,0.6205,0.6177,1623,True,ok,3221226505
G04-seed2,G04,IEMOCAP,GCNet+AMBER,"(0.5,0.7,0.3)",seed2,run_logs/G04/G04-seed2.log,84d08719168d074a77edc6c194ccbaf1bb6b641e165db8af9175284e6fe65ff9,72b68d623fa3e83e121193d18f02a0d013d349add61ed05bfaad657fa734926c,2953,979,4,1970,118,77,60.7516943930992,60.31744104111152,0.6075,0.6032,1623,True,ok,3221226505
G04-seed3,G04,IEMOCAP,GCNet+AMBER,"(0.5,0.7,0.3)",seed3,run_logs/G04/G04-seed3.log,4ca4d746cd8faf89faa9150753d507ce74daef334a69a5d2e00021993e31b2fc,1f89857dfc5e5bd4b0ec570c789ad9e43347a2827c57d3421a618077a9256366,2065,683,4,1378,81,40,59.76586568083796,59.547989273970934,0.5977,0.5955,1623,True,ok,3221226505
G04-seed4,G04,IEMOCAP,GCNet+AMBER,"(0.5,0.7,0.3)",seed4,run_logs/G04/G04-seed4.log,7103b14ec5a5c9b2e1624095f43fa0417a59ebcf3238e343e5a13c149babb430,7ab59946d871c2ea28044c9c8849983196903d3bed4572c21a58697137c45e73,2113,699,4,1410,83,42,60.62846580406654,59.69817371584823,0.6063,0.597,1623,True,ok,3221226505
G04-seed5,G04,IEMOCAP,GCNet+AMBER,"(0.5,0.7,0.3)",seed5,run_logs/G04/G04-seed5.log,e8ee27ae60ab9edb6ea5a8111d5ebdb58aa8a67c3e16d71b4947fc0e5726c28a,4f64879e2dead808d372442228ec9b1a38ddfe8d7bae8b17b05d05015f12353e,3720,1234,4,2482,150,117,59.70425138632163,59.74651777815537,0.597,0.5975,1623,True,ok,3221226505
G05-seed1,G05,IEMOCAP,GCNet+AMBER,"(0.7,0.3,0.5)",seed1,run_logs/G05/G05-seed1.log,67ee0c43288baef9e2e98b7497d3ed2f49a32c579e060d6fbe7f66cf122919a7,d2516f5df364532e8cf42bbe3be8e7d02280db2f0a0af4f89a423e33b94cdf59,3720,1234,4,2482,150,142,65.61922365988909,65.18027003258678,0.6562,0.6518,1623,True,ok,3221226505
G05-seed2,G05,IEMOCAP,GCNet+AMBER,"(0.7,0.3,0.5)",seed2,run_logs/G05/G05-seed2.log,8ab70fddc0fbebb0a3e4d3c904375d9fea66fb9744369f6d5454841e55db20cf,076a095a48d3b2f057df6d4f7ded3cd7a0771cf588de76b14e57bca2177a3f95,3720,1234,4,2482,150,132,64.9414664202095,64.5489907507088,0.6494,0.6455,1623,True,ok,3221226505
