run_id,group_id,dataset,model,imr,seed_alias,acc_pct,wf1_pct,recorded_best_epoch,recorded_dev_wf1_pct,source_status,process_return_code,nonzero_exit,log_available,log_metrics_match,evidence_id
G01-seed1,G01,IEMOCAP,GCNet+AMBER,"(0.3,0.5,0.7)",seed1,62.90819470117067,62.900252311386915,124,53.547924827048845,ok,3221226505,True,True,True,G01-seed1-E
G01-seed2,G01,IEMOCAP,GCNet+AMBER,"(0.3,0.5,0.7)",seed2,61.552680221811464,61.72908724595304,139,52.91351602955834,ok,3221226505,True,True,True,G01-seed2-E
G01-seed3,G01,IEMOCAP,GCNet+AMBER,"(0.3,0.5,0.7)",seed3,60.81330868761553,60.4727998243652,27,45.600080167508224,ok,3221226505,True,True,True,G01-seed3-E
G01-seed4,G01,IEMOCAP,GCNet+AMBER,"(0.3,0.5,0.7)",seed4,60.998151571164506,60.72427873287586,75,47.24048583637335,ok,3221226505,True,True,True,G01-seed4-E
G01-seed5,G01,IEMOCAP,GCNet+AMBER,"(0.3,0.5,0.7)",seed5,62.969808995687,62.5947425424381,36,45.98141680146729,ok,3221226505,True,True,True,G01-seed5-E
G02-seed1,G02,IEMOCAP,GCNet+AMBER,"(0.3,0.7,0.5)",seed1,60.69008009858287,59.69016487172515,149,47.08974754383489,ok,3221226505,True,True,True,G02-seed1-E
G02-seed2,G02,IEMOCAP,GCNet+AMBER,"(0.3,0.7,0.5)",seed2,59.58102279728897,59.09598980689037,57,44.967008203327964,ok,3221226505,True,True,True,G02-seed2-E
G02-seed3,G02,IEMOCAP,GCNet+AMBER,"(0.3,0.7,0.5)",seed3,58.9648798521257,58.63503508709877,46,43.4877836153309,ok,3221226505,True,True,True,G02-seed3-E
G02-seed4,G02,IEMOCAP,GCNet+AMBER,"(0.3,0.7,0.5)",seed4,59.950708564386936,59.73560189596573,61,44.4180168662819,ok,3221226505,True,True,True,G02-seed4-E
G02-seed5,G02,IEMOCAP,GCNet+AMBER,"(0.3,0.7,0.5)",seed5,60.44362292051756,58.84364297329303,126,48.23297907617685,ok,3221226505,True,True,True,G02-seed5-E
G03-seed1,G03,IEMOCAP,GCNet+AMBER,"(0.5,0.3,0.7)",seed1,65.37276648182379,65.12579189402835,133,57.06792625809436,ok,3221226505,True,True,True,G03-seed1-E
G03-seed2,G03,IEMOCAP,GCNet+AMBER,"(0.5,0.3,0.7)",seed2,63.4011090573013,62.24017670007229,137,58.125497991098705,ok,3221226505,True,True,True,G03-seed2-E
G03-seed3,G03,IEMOCAP,GCNet+AMBER,"(0.5,0.3,0.7)",seed3,64.57178065311152,64.41063729742898,143,57.86439604552089,ok,3221226505,True,True,True,G03-seed3-E
G03-seed4,G03,IEMOCAP,GCNet+AMBER,"(0.5,0.3,0.7)",seed4,65.06469500924214,64.73328334883675,137,54.28262412623903,ok,3221226505,True,True,True,G03-seed4-E
G03-seed5,G03,IEMOCAP,GCNet+AMBER,"(0.5,0.3,0.7)",seed5,67.4060382008626,66.89549601559347,128,54.606871569175,ok,3221226505,True,True,True,G03-seed5-E
G04-seed1,G04,IEMOCAP,GCNet+AMBER,"(0.5,0.7,0.3)",seed1,62.04559457794209,61.771043762165114,47,45.55383738009066,ok,3221226505,True,True,True,G04-seed1-E
G04-seed2,G04,IEMOCAP,GCNet+AMBER,"(0.5,0.7,0.3)",seed2,60.7516943930992,60.31744104111152,77,46.274360682845526,ok,3221226505,True,True,True,G04-seed2-E
G04-seed3,G04,IEMOCAP,GCNet+AMBER,"(0.5,0.7,0.3)",seed3,59.76586568083796,59.547989273970934,40,48.98927708194684,ok,3221226505,True,True,True,G04-seed3-E
G04-seed4,G04,IEMOCAP,GCNet+AMBER,"(0.5,0.7,0.3)",seed4,60.62846580406654,59.69817371584823,42,44.75643708040536,ok,3221226505,True,True,True,G04-seed4-E
G04-seed5,G04,IEMOCAP,GCNet+AMBER,"(0.5,0.7,0.3)",seed5,59.70425138632163,59.74651777815537,117,48.345181694083344,ok,3221226505,True,True,True,G04-seed5-E
G05-seed1,G05,IEMOCAP,GCNet+AMBER,"(0.7,0.3,0.5)",seed1,65.61922365988909,65.18027003258678,142,55.23741452227101,ok,3221226505,True,True,True,G05-seed1-E
G05-seed2,G05,IEMOCAP,GCNet+AMBER,"(0.7,0.3,0.5)",seed2,64.9414664202095,64.5489907507088,132,54.20005527778504,ok,3221226505,True,True,True,G05-seed2-E
G05-seed3,G05,IEMOCAP,GCNet+AMBER,"(0.7,0.3,0.5)",seed3,63.95563770794824,63.671956815550814,128,54.91703640772759,ok,3221226505,True,True,True,G05-seed3-E
G05-seed4,G05,IEMOCAP,GCNet+AMBER,"(0.7,0.3,0.5)",seed4,66.29698089956871,65.74536286035195,149,54.39700835918417,ok,3221226505,True,True,True,G05-seed4-E
G05-seed5,G05,IEMOCAP,GCNet+AMBER,"(0.7,0.3,0.5)",seed5,65.92729513247073,65.35054465215501,149,53.02387288234335,ok,3221226505,True,True,True,G05-seed5-E
G06-seed1,G06,IEMOCAP,GCNet+AMBER,"(0.7,0.5,0.3)",seed1,62.292051756007396,61.52242157536156,54,47.801280810676225,ok,3221226505,True,True,True,G06-seed1-E
G06-seed2,G06,IEMOCAP,GCNet+AMBER,"(0.7,0.5,0.3)",seed2,62.78496611213802,62.155141096846776,57,52.41074708828398,ok,3221226505,True,True,True,G06-seed2-E
G06-seed3,G06,IEMOCAP,GCNet+AMBER,"(0.7,0.5,0.3)",seed3,61.737523105360445,61.56507489545477,48,50.815463437997785,ok,3221226505,True,True,True,G06-seed3-E
G06-seed4,G06,IEMOCAP,GCNet+AMBER,"(0.7,0.5,0.3)",seed4,62.90819470117067,62.292886578386394,106,47.93671692494776,ok,3221226505,True,True,True,G06-seed4-E
G06-seed5,G06,IEMOCAP,GCNet+AMBER,"(0.7,0.5,0.3)",seed5,62.16882316697474,61.79080764962729,112,51.81745471473354,ok,3221226505,True,True,True,G06-seed5-E
G07-seed1,G07,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",seed1,65.06469500924214,64.81712373565762,62,58.01685922776857,ok,3221226505,True,True,True,G07-seed1-E
G07-seed2,G07,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",seed2,66.78989525569932,66.51814678624355,58,62.58580735982834,ok,3221226505,True,True,True,G07-seed2-E
G07-seed3,G07,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",seed3,63.52433764633395,63.39431758976548,59,64.37919919850563,ok,3221226505,True,True,True,G07-seed3-E
G07-seed4,G07,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",seed4,64.01725200246457,63.74845667518756,40,67.04653717338448,ok,3221226505,True,True,True,G07-seed4-E
G07-seed5,G07,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",seed5,63.83240911891559,64.04290615948695,43,62.81530595442509,ok,3221226505,True,True,True,G07-seed5-E
