group_id,table,dataset,model,imr,run_count,source_id,aggregate_source_line,acc_mean,acc_std,paper_acc_mean,paper_acc_std,original_acc,balm_acc,delta_vs_original_acc,delta_vs_balm_acc,wf1_mean,wf1_std,paper_wf1_mean,paper_wf1_std,original_wf1,balm_wf1,delta_vs_original_wf1,delta_vs_balm_wf1
G01,2,IEMOCAP,GCNet+AMBER,"(0.3,0.5,0.7)",5,S03,2,61.848428835489834,1.032292296663431,61.85,1.03,58.04,61.31,3.808428835489835,0.5384288354898317,61.684232131403824,1.0838386676428662,61.68,1.08,58.36,61.33,3.324232131403825,0.35423213140382614
G02,2,IEMOCAP,GCNet+AMBER,"(0.3,0.7,0.5)",5,S03,3,59.92606284658041,0.6883174390027796,59.93,0.69,56.81,57.36,3.116062846580405,2.566062846580408,59.20008692699461,0.4960153118144474,59.2,0.5,56.83,57.0,2.3700869269946097,2.200086926994608
G03,2,IEMOCAP,GCNet+AMBER,"(0.5,0.3,0.7)",5,S03,4,65.16327788046827,1.4610514914475754,65.16,1.46,61.61,61.31,3.553277880468272,3.8532778804682692,64.68107705119196,1.6684783729018877,64.68,1.67,62.06,61.62,2.6210770511919605,3.0610770511919654
G04,2,IEMOCAP,GCNet+AMBER,"(0.5,0.7,0.3)",5,S03,5,60.57917436845349,0.9499397719511672,60.58,0.95,56.81,57.64,3.769174368453484,2.939174368453486,60.21623311425024,0.9169578865241894,60.22,0.92,56.99,57.64,3.2262331142502347,2.576233114250236
G05,2,IEMOCAP,GCNet+AMBER,"(0.7,0.3,0.5)",5,S03,6,65.34812076401725,0.9238035644604485,65.35,0.92,59.64,59.33,5.708120764017252,6.0181207640172545,64.89942502227066,0.8104745590358188,64.9,0.81,59.78,59.39,5.119425022270661,5.509425022270662
G06,2,IEMOCAP,GCNet+AMBER,"(0.7,0.5,0.3)",5,S03,7,62.378311768330256,0.4764661720069311,62.38,0.48,59.09,60.26,3.288311768330253,2.1183117683302584,61.86526635913536,0.3464419054923814,61.87,0.35,59.19,60.58,2.675266359135364,1.2852663591353632
G07,2,IEMOCAP,MMGCN+AMBER,"(0.3,0.5,0.7)",5,S01,2,64.64571780653111,1.331068422530257,64.65,1.33,63.59,64.39,1.0557178065311064,0.2557178065311092,64.50419018926823,1.241942215495473,64.5,1.24,63.62,63.82,0.8841901892682316,0.6841901892682287
G08,2,IEMOCAP,MMGCN+AMBER,"(0.3,0.7,0.5)",5,S01,3,63.080714725816385,0.6043228507819722,63.08,0.6,59.09,60.07,3.9907147258163818,3.010714725816385,62.73140282389919,0.49228199266187234,62.73,0.49,58.99,60.04,3.741402823899186,2.691402823899189
G09,2,IEMOCAP,MMGCN+AMBER,"(0.5,0.3,0.7)",5,S01,4,65.40973505853358,0.5166056393408369,65.41,0.52,64.63,65.37,0.7797350585335892,0.03973505853358006,65.25047360238618,0.49744601902902796,65.25,0.5,64.95,65.03,0.3004736023861767,0.2204736023861784
G10,2,IEMOCAP,MMGCN+AMBER,"(0.5,0.7,0.3)",5,S01,5,62.982131854590264,0.7847058767681019,62.98,0.78,57.79,62.29,5.192131854590265,0.692131854590265,62.6822622422187,0.879586406923455,62.68,0.88,57.99,62.35,4.692262242218696,0.3322622422186967
G11,2,IEMOCAP,MMGCN+AMBER,"(0.7,0.3,0.5)",5,S01,6,64.05422057917437,1.6117762431206297,64.05,1.61,64.14,65.0,-0.08577942082563084,-0.9457794208256303,63.885268508690785,1.5065710868438624,63.89,1.51,64.27,64.98,-0.3847314913092106,-1.0947314913092185
G12,2,IEMOCAP,MMGCN+AMBER,"(0.7,0.5,0.3)",5,S01,7,63.13000616142945,0.8111118784356879,63.13,0.81,60.63,61.74,2.5000061614294466,1.3900061614294472,62.804348350723615,0.7389014756574646,62.8,0.74,60.85,61.2,1.9543483507236132,1.6043483507236118
